"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"ozm_adrenalina_name","AdrenaX","AdrenaX","AdrenaX","AdrenaX","AdrenaX","AdrenaX","AdrenaX","AdrenaX","AdrenaX","AdrenaX","AdrenaX","AdrenaX","AdrenaX","AdrenaX",
"ozm_adrenalina_desc","AdrenaX é uma fórmula experimental avançada, desenvolvida para explorar o potencial máximo da adrenalina: Cura 10% de vida a cada 10 segundos por até 90 segundos","AdrenaX is an advanced experimental formula, developed to explore the maximum potential of adrenaline: Heals 10% of life every 10 seconds for up to 90 seconds","AdrenaX je pokročilá experimentální formule vyvinutá k prozkoumání maximálního potenciálu adrenalinu: Léčí 10% života každých 10 sekund po dobu až 90 sekund","AdrenaX ist eine fortschrittliche experimentelle Formel, die entwickelt wurde, um das maximale Potenzial von Adrenalin zu erkunden: Heilt 10% des Lebens alle 10 Sekunden für bis zu 90 Sekunden","AdrenaX - это передовая экспериментальная формула, разработанная для изучения максимального потенциала адреналина: Восстанавливает 10% жизни каждые 10 секунд до 90 секунд","AdrenaX to zaawansowana eksperymentalna formuła opracowana do eksploracji maksymalnego potencjału adrenaliny: Leczy 10% życia co 10 sekund przez maksymalnie 90 sekund","Az AdrenaX egy fejlett kísérleti formula, amelyet az adrenalin maximális potenciáljának felfedezésére fejlesztettek ki: 10% életet gyógyít minden 10 másodpercben legfeljebb 90 másodpercig","AdrenaX è una formula sperimentale avanzata, sviluppata per esplorare il massimo potenziale dell'adrenalina: Guarisce il 10% della vita ogni 10 secondi per un massimo di 90 secondi","AdrenaX es una fórmula experimental avanzada, desarrollada para explorar el potencial máximo de la adrenalina: Cura el 10% de la vida cada 10 segundos durante un máximo de 90 segundos","AdrenaX est une formule expérimentale avancée, développée pour explorer le potentiel maximal de l'adrénaline: Guérit 10% de la vie toutes les 10 secondes pendant 90 secondes maximum","AdrenaX is an advanced experimental formula, developed to explore the maximum potential of adrenaline: Heals 10% of life every 10 seconds for up to 90 seconds","AdrenaX is an advanced experimental formula, developed to explore the maximum potential of adrenaline: Heals 10% of life every 10 seconds for up to 90 seconds","AdrenaX é uma fórmula experimental avançada, desenvolvida para explorar o potencial máximo da adrenalina: Cura 10% de vida a cada 10 segundos por até 90 segundos","AdrenaX is an advanced experimental formula, developed to explore the maximum potential of adrenaline: Heals 10% of life every 10 seconds for up to 90 seconds",
"ozm_kitmedico_name","Kit Médico","Medical Kit","Lékařský sada","Medizinisches Kit","Медицинский набор","Zestaw medyczny","Orvosi készlet","Kit Médico","Trousse médicale","Medical Kit","Medical Kit","Kit Médico","Medical Kit","Medical Kit",
"ozm_kitmedico_desc","Kit completo de cirurgia que opera todos as feridas e recupera 100% de vida e Sangue","Complete surgery kit that operates all wounds and recovers 100% of life and Blood","Kompletní chirurgická sada, která operuje všechny rány a obnovuje 100% života a krve","Komplettes Operationsset, das alle Wunden operiert und 100% des Lebens und Blutes wiederherstellt","Полный хирургический набор, который оперирует все раны и восстанавливает 100% жизни и крови","Kompletny zestaw chirurgiczny, który operuje wszystkie rany i odzyskuje 100% życia i krwi","Teljes sebészeti készlet, amely működteti az összes sebet és 100% -kal helyreállítja az életet és a vért","Kit de cirugía completo que opera todas las heridas y recupera el 100% de vida y sangre","Trousse de chirurgie complète qui opère toutes les blessures et récupère 100% de la vie et du sang","Complete surgery kit that operates all wounds and recovers 100% of life and Blood","Complete surgery kit that operates all wounds and recovers 100% of life and Blood","Complete surgery kit that operates all wounds and recovers 100% of life and Blood","Kit completo de cirurgia que opera todas as feridas e recupera 100% de vida e Sangue","Complete surgery kit that operates all wounds and recovers 100% of life and Blood",
"ozm_healpills_name","Pílulas de Cura","Healing Pills","Léčivé pilulky","Heilungspillen","Лечебные таблетки","Tabletki lecznicze","Gyógyító tabletták","Píldoras Curativas","Pilules de guérison","Healing Pills","Healing Pills","Healing Pills","Pílulas de Cura","Healing Pills",
"ozm_healpills_desc","Pílulas especiais que curam 2% da vida maxima em 10 segundos, o efeito é cumulativo por pilula","Special pills that heal 2% of maximum life in 10 seconds, the effect is cumulative per pill","Speciální pilulky, které léčí 2% maximálního života za 10 sekund, účinek se kumuluje na pilulku","Spezielle Pillen, die 2% des maximalen Lebens in 10 Sekunden heilen, der Effekt ist kumulativ pro Pille","Специальные таблетки, которые лечат 2% максимальной жизни за 10 секунд, эффект кумулятивен за таблетку","Specjalne tabletki, które leczą 2% maksymalnego życia w ciągu 10 sekund, efekt jest kumulatywny na tabletkę","Különleges tabletták, amelyek 10 másodperc alatt 2% -át gyógyítják a maximális életnek, az hatás kumulatív tablettánként","Píldoras especiales que curan el 2% de la vida máxima en 10 segundos, el efecto es acumulativo por píldora","Pilules spéciales qui guérissent 2% de la vie maximale en 10 secondes, l'effet est cumulatif par pilule","Special pills that heal 2% of maximum life in 10 seconds, the effect is cumulative per pill","Special pills that heal 2% of maximum life in 10 seconds, the effect is cumulative per pill","Special pills that heal 2% of maximum life in 10 seconds, the effect is cumulative per pill","Pílulas especiais que curam 2% da vida maxima em 10 segundos, o efeito é cumulativo por pilula","Special pills that heal 2% of maximum life in 10 seconds, the effect is cumulative per pill",
"ozm_AI2_name","Ai2 kit","Ai2 kit","Ai2 kit","Ai2 kit","Ai2 kit","Ai2 kit","Ai2 kit","Ai2 kit","Ai2 kit","Ai2 kit","Ai2 kit","Ai2 kit","Ai2 kit","Ai2 kit",
"ozm_AI2_desc","Kit Ai2: Cura uma ferida e 30% da vida máxima em 5 Segundos","Ai2 Kit: Heals one wound and 30% of maximum life in 5 seconds","Kit Ai2: Léčí jednu ránu a 30% maximálního života za 5 sekund","Ai2 Kit: Heilt eine Wunde und 30% des maximalen Lebens in 5 Sekunden","Комплект Ai2: Лечит одну рану и 30% максимальной жизни за 5 секунд","Zestaw Ai2: Leczy jedną ranę i 30% maksymalnego życia w 5 sekund","Ai2 készlet: Gyógyít egy sebet és 30% -át a maximális életnek 5 másodperc alatt","Kit Ai2: Cura una herida y el 30% de la vida máxima en 5 segundos","Kit Ai2: Guérit une blessure et 30% de la vie maximale en 5 secondes","Ai2 Kit: Heals one wound and 30% of maximum life in 5 seconds","Ai2 Kit: Heals one wound and 30% of maximum life in 5 seconds","Ai2 Kit: Heals one wound and 30% of maximum life in 5 seconds","Kit Ai2: Cura uma ferida e 30% da vida máxima em 5 Segundos","Ai2 Kit: Heals one wound and 30% of maximum life in 5 seconds",
"ozm_AI2Army_name","Ai2 Army Kit","Ai2 Army Kit","Ai2 Army Kit","Ai2 Army Kit","Ai2 Army Kit","Ai2 Army Kit","Ai2 Army Kit","Ai2 Army Kit","Ai2 Army Kit","Ai2 Army Kit","Ai2 Army Kit","Ai2 Army Kit","Ai2 Army Kit","Ai2 Army Kit",
"ozm_AI2Army_desc","Kit Ai2 Army: Cura 2 feridas e 50% da vida máxima em 10 segundos","Ai2 Army Kit: Heals 2 wounds and 50% of maximum life in 10 seconds","Kit Ai2 Army: Léčí 2 rány a 50% maximálního života za 10 sekund","Ai2 Army Kit: Heilt 2 Wunden und 50% des maximalen Lebens in 10 Sekunden","Комплект Ai2 Army: Лечит 2 раны и 50% максимальной жизни за 10 секунд","Zestaw Ai2 Army: Leczy 2 rany i 50% maksymalnego życia w 10 sekund","Ai2 Army készlet: Gyógyít 2 sebet és 50% -át a maximális életnek 10 másodperc alatt","Kit Ai2 Army: Cura 2 heridas y el 50% de la vida máxima en 10 segundos","Kit Ai2 Army: Guérit 2 blessures et 50% de la vie maximale en 10 secondes","Ai2 Army Kit: Heals 2 wounds and 50% of maximum life in 10 seconds","Ai2 Army Kit: Heals 2 wounds and 50% of maximum life in 10 seconds","Ai2 Army Kit: Heals 2 wounds and 50% of maximum life in 10 seconds","Kit Ai2 Army: Cura 2 feridas e 50% da vida máxima em 10 segundos","Ai2 Army Kit: Heals 2 wounds and 50% of maximum life in 10 seconds",
"ozm_AI2Nauk_name","Ai2 Nauk Kit","Ai2 Nauk Kit","Ai2 Nauk Kit","Ai2 Nauk Kit","Ai2 Nauk Kit","Ai2 Nauk Kit","Ai2 Nauk Kit","Ai2 Nauk Kit","Ai2 Nauk Kit","Ai2 Nauk Kit","Ai2 Nauk Kit","Ai2 Nauk Kit","Ai2 Nauk Kit","Ai2 Nauk Kit",
"ozm_AI2Nauk_desc","Kit Ai2 Nauk: Cura 3 feridas e 70% da vida máxima em 15 segundos","Ai2 Nauk Kit: Heals 3 wounds and 70% of maximum life in 15 seconds","Kit Ai2 Nauk: Léčí 3 rány a 70% maximálního života za 15 sekund","Ai2 Nauk Kit: Heilt 3 Wunden und 70% des maximalen Lebens in 15 Sekunden","Комплект Ai2 Nauk: Лечит 3 раны и 70% максимальной жизни за 15 секунд","Zestaw Ai2 Nauk: Leczy 3 rany i 70% maksymalnego życia w 15 sekund","Ai2 Nauk készlet: Gyógyít 3 sebet és 70% -át a maximális életnek 15 másodperc alatt","Kit Ai2 Nauk: Cura 3 heridas y el 70% de la vida máxima en 15 segundos","Kit Ai2 Nauk: Guérit 3 blessures et 70% de la vie maximale en 15 secondes","Ai2 Nauk Kit: Heals 3 wounds and 70% of maximum life in 15 seconds","Ai2 Nauk Kit: Heals 3 wounds and 70% of maximum life in 15 seconds","Ai2 Nauk Kit: Heals 3 wounds and 70% of maximum life in 15 seconds","Kit Ai2 Nauk: Cura 3 feridas e 70% da vida máxima em 15 segundos","Ai2 Nauk Kit: Heals 3 wounds and 70% of maximum life in 15 seconds",
"ozm_adrenalinpills_name","Adrenaline Pills","Adrenaline Pills","Adrenalinové pilulky","Adrenalin-Pillen","Адреналиновые таблетки","Tabletki z adrenaliną","Adrenalin tabletták","Píldoras de adrenalina","Pilules d'adrénaline","Adrenaline Pills","Adrenaline Pills","Pílulas de adrenalina","Pílulas de Adrenalina","Adrenaline Pills",
"ozm_adrenalinpills_desc","Pílulas especiais que curam 2% do sangue maximo em 10 segundos, o efeito é cumulativo por pilula","Special pills that heal 2% of maximum blood in 10 seconds, the effect is cumulative per pill","Speciální pilulky, které léčí 2% maximální krve za 10 sekund, účinek se kumuluje na pilulku","Spezielle Pillen, die 2% des maximalen Blutes in 10 Sekunden heilen, der Effekt ist kumulativ pro Pille","Специальные таблетки, которые лечат 2% максимальной крови за 10 секунд, эффект кумулятивен за таблетку","Specjalne tabletki, które leczą 2% maksymalnej krwi w ciągu 10 sekund, efekt jest kumulatywny na tabletkę","Különleges tabletták, amelyek 10 másodperc alatt 2% -át gyógyítják a maximális vérnek, az hatás kumulatív tablettánként","Píldoras especiales que curan el 2% de la sangre máxima en 10 segundos, el efecto es acumulativo por píldora","Pilules spéciales qui guérissent 2% du sang maximal en 10 secondes, l'effet est cumulatif par pilule","Special pills that heal 2% of maximum blood in 10 seconds, the effect is cumulative per pill","Special pills that heal 2% of maximum blood in 10 seconds, the effect is cumulative per pill","Special pills that heal 2% of maximum blood in 10 seconds, the effect is cumulative per pill","Pílulas especiais que curam 2% do sangue maximo em 10 segundos, o efeito é cumulativo por pilula","Special pills that heal 2% of maximum blood in 10 seconds, the effect is cumulative per pill",